lineId,shortName,description,year,month,averageSpeedKmh,totalDistanceMeters,totalTimeSeconds,samples,status
2141,P14A,Estación Universidades - Terminal Andrés Sanín,2018,6,0.34,14922521.00,158214392.00,209074,OK
2211,P21A,Universidades - Centro - Av Las Américas,2018,6,0.39,50018594.00,456699879.00,609816,OK
2212,P21B,Terminal Menga - Estación Universidades,2018,6,0.32,82693205.00,934388187.00,956271,OK
2241,P24A,Terminal Menga- Terminal Andrés Sanín,2018,6,0.25,26295716.00,376620484.00,297638,OK
2242,P24B,C.A.M.  - Terminal Andrés Sanín,2018,6,0.29,43096428.00,532648078.00,619865,OK
2243,P24C,Terminal Menga-Terminal Andrés Sanín-Decepaz,2018,6,0.25,8367026.00,118292116.00,111004,OK
2273,P27C,Terminal Menga - Estación Universidades,2018,6,0.19,79872695.00,1508436597.00,1015620,OK
2274,P27D,Terminal Menga - Estación Capri,2018,6,0.29,61978363.00,781267784.00,796128,OK
2301,P30A,Estación Flora Industrial-Terminal Menga - Centro,2018,6,0.22,50162572.00,812484067.00,735307,OK
2401,P40A,Terminal Andrés Sanín - Centro,2018,6,0.23,22953500.00,365156348.00,351261,OK
2402,P40B,Terminal Andrés Sanín -Sena-Centro,2018,6,0.14,35165022.00,881462602.00,552993,OK
2471,P47A,Terminal Andrés Sanín - Estación Unidad Deportiva,2018,6,0.14,41618346.00,1040750098.00,773463,OK
2472,P47B,Terminal Andrés Sanín - Estación Unidad Deportiva,2018,6,0.21,37165093.00,639645226.00,563519,OK
2473,P47C,Terminal Andrés Sanín - Estación Capri,2018,6,0.14,49654781.00,1263817343.00,805586,OK
2521,P52A,Amanecer -Terminal Calipso - Av. de las Américas,2018,6,0.10,28392359.00,1073397970.00,401351,OK
2524,P52D,Ciudad Cordoba - Centro - Terminal,2018,6,0.34,59006604.00,631803976.00,827363,OK
2801,P80A,Terminal Calipso - Santa Elena - Centro,2018,6,0.09,10024641.00,386385125.00,142221,OK
2841,P84A,Terminal Calipso - Terminal Andres Sanin,2018,6,0.08,34732060.00,1523444349.00,555053,OK
2842,P84B,Terminal Andrés Sanín - Terminal Calipso,2018,6,0.35,28026335.00,285742907.00,367330,OK
3011,A01A,San Bosco - C.A.M - Centro,2018,6,0.46,8430329.00,65816515.00,111349,OK
3112,A11B,Universidad Libre - Universidades,2018,6,0.01,1144853.00,494067966.00,18263,OK
3121,A12A,Altos De La Luisa - Meléndez - Capri,2018,6,0.02,4318890.00,807931344.00,72523,OK
3122,A12B,Las Palmas - Estación Meléndez,2018,6,0.03,5871159.00,666326340.00,93999,OK
3123,A12C,Meléndez - Estación Capri,2018,6,0.81,7517437.00,33568026.00,90473,OK
3124,A12D,Altos De Santa Elena - Estación Meléndez,2018,6,0.02,4468749.00,853577438.00,66516,OK
3131,A13A,Caney - Estación Universidades,2018,6,0.09,17262587.00,709614738.00,231464,OK
3132,A13B,Vegas de Comfandi - Caney,2018,6,0.03,2936347.00,382280086.00,42286,OK
